order_id,session_id,user_id,order_ts,gross_amount,discount_amount,shipping_amount,net_amount
O00000035,S00001409,U001297,2025-07-14T07:30:25,9580.91,441.36,0.0,9139.55
O00000036,S00001421,U002154,2025-07-14T13:41:28,14337.0,744.24,0.0,13592.76
O00000037,S00001449,,2025-07-14T08:25:42,9381.29,627.16,0.0,8754.13
O00000038,S00001457,U002054,2025-07-14T23:47:24,11045.43,981.45,0.0,10063.98
O00000039,S00001471,U000600,2025-07-14T07:13:16,9603.76,789.67,0.0,8814.09
O00000040,S00001498,U000851,2025-07-15T16:38:26,6987.31,241.94,0.0,6745.37
O00000041,S00001527,U000450,2025-07-15T17:37:36,3080.34,134.89,0.0,2945.45
O00000042,S00001551,U001500,2025-07-15T09:57:01,7383.33,40.99,0.0,7342.34
O00000043,S00001656,U000720,2025-07-16T13:08:31,2743.37,198.37,0.0,2545.0
O00000044,S00001744,,2025-07-17T16:38:15,4099.38,145.7,0.0,3953.68
O00000045,S00001828,,2025-07-18T05:05:22,12151.71,478.96,0.0,11672.75
O00000046,S00001835,U001037,2025-07-18T19:33:37,3140.57,194.66,0.0,2945.91
O00000047,S00001930,U000732,2025-07-18T22:12:24,14702.78,422.44,0.0,14280.34
O00000048,S00001957,,2025-07-19T22:12:22,8088.78,399.03,0.0,7689.75
O00000049,S00001978,U001036,2025-07-19T17:00:13,7284.22,411.82,0.0,6872.4
O00000050,S00002013,U000380,2025-07-19T23:18:07,2284.66,129.25,0.0,2155.41
O00000051,S00002027,U001488,2025-07-19T22:23:15,10150.76,240.33,0.0,9910.43
O00000052,S00002091,,2025-07-20T19:14:18,12319.39,549.53,0.0,11769.86
O00000053,S00002099,,2025-07-20T07:42:03,2024.4,108.99,0.0,1915.41
O00000054,S00002218,U000904,2025-07-21T12:41:30,6916.01,220.72,0.0,6695.29
O00000055,S00002223,U000226,2025-07-21T06:45:10,17822.53,740.19,0.0,17082.34
O00000056,S00002253,U000990,2025-07-21T15:36:18,6442.03,96.57,0.0,6345.46
O00000057,S00002262,U000901,2025-07-21T06:40:56,7395.78,541.7,0.0,6854.08
O00000058,S00002294,U000857,2025-07-21T01:49:36,7317.8,418.51,0.0,6899.29
O00000059,S00002335,,2025-07-22T03:04:36,15174.6,1155.72,0.0,14018.88
O00000060,S00002405,U000042,2025-07-22T10:13:35,8199.65,347.2,0.0,7852.45
O00000061,S00002409,U000187,2025-07-22T05:26:23,11432.01,567.63,0.0,10864.38
O00000062,S00002426,U001868,2025-07-22T00:50:19,783.95,52.17,88.53,820.31
O00000063,S00002486,U000381,2025-07-23T21:08:12,11060.05,522.47,0.0,10537.58
O00000064,S00002557,U001024,2025-07-23T18:29:29,2766.49,136.53,0.0,2629.96
O00000065,S00002577,U001997,2025-07-23T17:44:26,10182.27,737.23,0.0,9445.04
O00000066,S00002633,,2025-07-24T21:13:38,756.22,21.13,57.54,792.63
O00000067,S00002663,U002399,2025-07-24T16:29:46,4193.27,199.49,0.0,3993.78
O00000068,S00002691,U000180,2025-07-24T16:31:40,4260.15,232.18,0.0,4027.97
O00000069,S00002693,U000176,2025-07-24T08:42:21,8662.38,395.52,0.0,8266.86
O00000070,S00002750,U000426,2025-07-25T01:39:31,10592.13,1087.54,0.0,9504.59
O00000071,S00002791,U000679,2025-07-25T09:20:59,3879.39,257.53,0.0,3621.86
O00000072,S00002801,U000443,2025-07-25T06:16:16,9922.97,333.54,0.0,9589.43
O00000073,S00002958,,2025-07-27T08:20:07,11026.34,505.86,0.0,10520.48
O00000074,S00003015,U000568,2025-07-27T12:53:37,11759.23,120.95,0.0,11638.28
O00000075,S00003112,,2025-07-28T02:00:30,7784.3,369.62,0.0,7414.68
O00000076,S00003168,U002522,2025-07-28T02:50:41,11935.77,1239.03,0.0,10696.74
O00000077,S00003208,U000272,2025-07-29T02:46:51,4787.4,366.2,0.0,4421.2
O00000078,S00003227,,2025-07-29T09:08:16,13142.77,550.22,0.0,12592.55
O00000079,S00003323,U001777,2025-07-30T17:17:02,10518.81,186.22,0.0,10332.59
O00000080,S00003356,U000304,2025-07-30T17:33:08,5405.31,294.83,0.0,5110.48
O00000081,S00003357,U002589,2025-07-30T05:37:09,4999.32,315.59,0.0,4683.73
O00000082,S00003375,U001074,2025-07-30T04:44:03,9344.22,383.6,0.0,8960.62
O00000083,S00003397,U001783,2025-07-30T23:52:52,15896.06,554.27,0.0,15341.78
O00000084,S00003421,U000306,2025-07-31T07:13:19,4247.94,100.02,0.0,4147.92
O00000085,S00003495,,2025-07-31T14:03:47,1974.67,88.74,50.0,1935.93
O00000086,S00003512,U002004,2025-07-31T06:52:29,9009.81,388.07,0.0,8621.74
O00000087,S00003514,U000673,2025-07-31T16:00:37,13655.8,186.48,0.0,13469.32
O00000088,S00003535,U001669,2025-07-31T11:51:16,2268.66,86.63,0.0,2182.03
O00000089,S00003659,,2025-08-01T08:12:53,6361.03,243.6,0.0,6117.43
O00000090,S00003693,,2025-08-02T21:00:45,6982.67,0.33,0.0,6982.34
O00000091,S00003705,U000021,2025-08-02T07:25:03,4682.12,367.45,0.0,4314.67
O00000092,S00003716,U001516,2025-08-02T19:36:45,3448.33,171.71,0.0,3276.62
O00000093,S00003726,U001576,2025-08-02T23:39:21,13218.16,423.16,0.0,12795.0
O00000094,S00003735,U000104,2025-08-02T09:38:42,8957.21,512.58,0.0,8444.63
O00000095,S00003834,U001415,2025-08-03T22:17:02,11006.64,672.88,0.0,10333.76
O00000096,S00003842,U000217,2025-08-03T14:15:12,8117.61,48.97,0.0,8068.64
O00000097,S00003881,U002492,2025-08-03T01:20:44,9527.51,593.4,0.0,8934.11
O00000098,S00003937,U000503,2025-08-03T01:42:26,5854.27,122.39,0.0,5731.88
O00000099,S00003960,U000045,2025-08-04T09:59:36,3639.33,75.9,0.0,3563.43
O00000100,S00003984,U002479,2025-08-04T16:47:44,3120.39,88.84,0.0,3031.55
O00000101,S00004002,U000385,2025-08-04T04:37:36,5868.89,195.87,0.0,5673.02
O00000102,S00004004,U000584,2025-08-04T14:04:11,4982.66,127.08,0.0,4855.58
O00000103,S00004010,,2025-08-04T12:07:22,7196.29,371.99,0.0,6824.3
O00000104,S00004037,U001203,2025-08-05T12:32:25,13244.63,568.18,0.0,12676.45
O00000105,S00004047,U002027,2025-08-05T22:19:56,3842.79,158.19,0.0,3684.6
O00000106,S00004073,U001576,2025-08-06T03:36:12,6349.85,418.92,0.0,5930.93
O00000107,S00004105,U001950,2025-08-06T12:59:58,9045.76,531.21,0.0,8514.55
O00000108,S00004112,U000686,2025-08-06T11:06:06,5805.92,355.8,0.0,5450.12
O00000109,S00004143,,2025-08-06T23:08:00,3519.72,171.06,0.0,3348.66
O00000110,S00004163,U000471,2025-08-06T18:08:41,5059.15,184.96,0.0,4874.19
O00000111,S00004255,U001339,2025-08-07T02:07:12,10033.72,747.03,0.0,9286.69
O00000112,S00004271,U002368,2025-08-07T09:06:51,8484.07,342.54,0.0,8141.53
O00000113,S00004293,U002373,2025-08-07T11:24:21,5531.86,395.78,0.0,5136.08
O00000114,S00004333,U000282,2025-08-08T14:40:07,7696.29,565.95,0.0,7130.34
O00000115,S00004345,U002115,2025-08-08T15:37:59,7415.45,235.33,0.0,7180.12
O00000116,S00004385,U000899,2025-08-08T08:28:05,2301.43,187.12,0.0,2114.31
O00000117,S00004401,U000568,2025-08-08T11:20:27,2983.81,113.71,0.0,2870.1
O00000118,S00004446,,2025-08-08T22:33:13,5670.77,179.55,0.0,5491.22
O00000119,S00004454,U000808,2025-08-09T14:30:39,664.95,28.8,45.33,681.48
O00000120,S00004493,U000085,2025-08-09T06:33:52,2603.32,241.65,0.0,2361.67
O00000121,S00004521,U000795,2025-08-09T16:07:28,9878.43,473.52,0.0,9404.91
O00000122,S00004615,U002214,2025-08-10T08:31:06,1568.2,41.71,86.15,1612.64
O00000123,S00004661,U001170,2025-08-10T05:12:26,9267.88,763.52,0.0,8504.36
O00000124,S00004704,U001051,2025-08-11T05:57:13,7117.58,990.81,0.0,6126.77
O00000125,S00004733,U001383,2025-08-11T19:40:03,7874.45,965.35,0.0,6909.1
O00000126,S00004755,U002347,2025-08-11T21:18:26,4021.2,368.6,0.0,3652.6
O00000127,S00004775,,2025-08-11T22:32:02,7251.18,739.56,0.0,6511.62
O00000128,S00004787,U002316,2025-08-11T21:39:57,3390.68,315.89,0.0,3074.79
O00000129,S00004817,U002080,2025-08-11T15:27:44,616.35,55.13,100.24,661.46
O00000130,S00004839,U000572,2025-08-11T10:28:14,3528.53,349.27,0.0,3179.26
O00000131,S00004873,,2025-08-12T13:25:19,10517.17,357.6,0.0,10159.57
O00000132,S00004890,U000110,2025-08-12T02:52:09,13001.5,717.24,0.0,12284.26
O00000133,S00004917,U000669,2025-08-12T23:44:13,761.55,35.69,92.68,818.54
O00000134,S00004923,,2025-08-12T05:45:59,3244.17,256.0,0.0,2988.17
O00000135,S00005040,U002412,2025-08-13T10:28:05,4243.23,410.23,0.0,3833.0
O00000136,S00005091,U002357,2025-08-13T00:47:15,6821.17,571.13,0.0,6250.04
O00000137,S00005141,U001303,2025-08-14T22:33:19,8824.99,867.61,0.0,7957.38
O00000138,S00005149,U000683,2025-08-14T14:09:56,10981.51,1609.24,0.0,9372.27
O00000139,S00005197,U002434,2025-08-14T06:51:01,8408.56,1024.77,0.0,7383.79
O00000140,S00005199,U001220,2025-08-14T10:56:23,1415.09,156.6,55.23,1313.72
O00000141,S00005216,U000993,2025-08-14T16:49:28,8759.12,992.24,0.0,7766.88
O00000142,S00005272,U000643,2025-08-15T10:11:37,527.96,72.14,119.33,575.15
O00000143,S00005304,,2025-08-15T13:37:37,9131.88,1202.37,0.0,7929.51
O00000144,S00005333,U001796,2025-08-15T23:29:33,3492.87,336.46,0.0,3156.41
O00000145,S00005376,U001241,2025-08-15T17:31:12,9842.34,1106.45,0.0,8735.89
O00000146,S00005386,U000092,2025-08-16T10:39:14,11955.36,1172.98,0.0,10782.38
O00000147,S00005441,U001928,2025-08-16T10:13:12,4899.86,437.24,0.0,4462.62
O00000148,S00005490,U002507,2025-08-16T21:20:53,10933.65,1138.68,0.0,9794.97
O00000149,S00005520,U002478,2025-08-16T19:17:07,13901.59,1168.6,0.0,12732.99
O00000150,S00005543,U001684,2025-08-17T19:02:22,10293.43,1233.7,0.0,9059.73
O00000151,S00005631,,2025-08-17T19:25:41,6493.83,758.69,0.0,5735.14
O00000152,S00005647,,2025-08-17T19:12:29,2770.75,286.33,0.0,2484.42
O00000153,S00005659,U002068,2025-08-17T03:21:39,8641.23,626.0,0.0,8015.23
O00000154,S00005833,U001355,2025-08-19T17:26:48,3615.99,373.94,0.0,3242.05
O00000155,S00005846,U002113,2025-08-19T09:09:11,10529.16,1297.94,0.0,9231.22
O00000156,S00005877,U001049,2025-08-19T00:39:10,8803.86,1209.6,0.0,7594.26
O00000157,S00005931,U002514,2025-08-19T11:57:34,11147.89,1089.68,0.0,10058.21
O00000158,S00005953,U000563,2025-08-20T04:42:45,7310.64,553.22,0.0,6757.42
O00000159,S00005977,U001401,2025-08-20T17:51:36,3541.83,345.28,0.0,3196.55
O00000160,S00006023,U002163,2025-08-20T20:29:36,1455.53,126.98,95.21,1423.76
O00000161,S00006031,U001841,2025-08-20T08:41:55,9750.29,874.18,0.0,8876.11
O00000162,S00006044,U000021,2025-08-21T00:06:47,12073.05,949.22,0.0,11123.83
O00000163,S00006105,U000082,2025-08-21T14:19:24,4005.8,183.36,0.0,3822.44
O00000164,S00006185,U002028,2025-08-21T14:17:47,8674.59,399.65,0.0,8274.94
O00000165,S00006205,U000898,2025-08-21T23:30:47,1874.19,62.82,58.86,1870.23
O00000166,S00006230,U000598,2025-08-22T06:52:34,13408.06,655.97,0.0,12752.09
O00000167,S00006305,U001038,2025-08-22T23:42:06,1962.49,67.46,55.07,1950.1
O00000168,S00006309,U000195,2025-08-22T22:34:51,5783.98,275.16,0.0,5508.82
O00000169,S00006361,U001784,2025-08-22T00:51:45,8137.93,603.52,0.0,7534.41
O00000170,S00006367,,2025-08-23T02:08:14,12280.8,661.06,0.0,11619.74
O00000171,S00006478,U001493,2025-08-24T03:32:12,7773.39,357.86,0.0,7415.53
O00000172,S00006491,U001793,2025-08-24T21:50:50,8668.93,586.4,0.0,8082.53
O00000173,S00006496,U001553,2025-08-24T08:32:29,7169.47,509.01,0.0,6660.46
O00000174,S00006497,U000446,2025-08-24T22:25:45,2575.09,137.48,0.0,2437.61
O00000175,S00006548,U000088,2025-08-24T22:15:03,5110.11,22.03,0.0,5088.08
O00000176,S00006553,U001391,2025-08-24T22:40:18,8332.07,323.19,0.0,8008.88
O00000177,S00006578,U002396,2025-08-25T07:38:55,5068.9,179.28,0.0,4889.62
O00000178,S00006640,U000095,2025-08-25T04:58:45,10436.23,1108.56,0.0,9327.67
O00000179,S00006666,U000523,2025-08-26T05:53:03,3900.64,189.26,0.0,3711.38
O00000180,S00006679,U000896,2025-08-26T08:26:10,10657.87,115.79,0.0,10542.08
O00000181,S00006782,U000462,2025-08-26T22:42:07,633.65,23.33,47.14,657.46
O00000182,S00006794,U001700,2025-08-26T17:56:47,9692.13,471.49,0.0,9220.64
O00000183,S00006806,,2025-08-27T19:36:13,1915.99,115.88,40.14,1840.25
O00000184,S00006831,U001595,2025-08-27T01:41:46,3330.49,116.4,0.0,3214.09
O00000185,S00006875,,2025-08-27T01:07:42,3365.27,185.22,0.0,3180.05
O00000186,S00007059,U002019,2025-08-28T21:08:59,12509.29,684.3,0.0,11824.99
O00000187,S00007163,U000569,2025-08-29T04:04:05,2899.64,123.56,0.0,2776.08
O00000188,S00007166,U000861,2025-08-29T15:18:20,7806.91,476.28,0.0,7330.63
O00000189,S00007182,U001780,2025-08-29T00:49:49,3771.81,222.55,0.0,3549.26
O00000190,S00007235,U001563,2025-08-30T23:35:04,9557.47,575.04,0.0,8982.43
O00000191,S00007248,U001986,2025-08-30T03:31:02,2572.26,151.83,0.0,2420.43
O00000192,S00007253,U001862,2025-08-30T23:01:29,14623.88,288.28,0.0,14335.59
O00000193,S00007271,U000095,2025-08-30T23:47:28,2810.94,102.89,0.0,2708.05
O00000194,S00007499,U001748,2025-09-01T09:18:09,1102.77,85.96,94.88,1111.69
O00000195,S00007521,U001451,2025-09-01T04:58:04,2722.5,170.04,0.0,2552.46
O00000196,S00007585,U001168,2025-09-01T17:51:56,1583.88,80.42,60.59,1564.05
O00000197,S00007589,,2025-09-01T14:02:33,5687.62,339.16,0.0,5348.46
O00000198,S00007592,U002029,2025-09-01T02:12:26,5314.87,232.4,0.0,5082.47
O00000199,S00007606,U000685,2025-09-01T16:41:57,9445.64,556.58,0.0,8889.06
O00000200,S00007697,U001795,2025-09-02T23:37:30,1974.67,60.82,80.24,1994.09
O00000201,S00007750,U002031,2025-09-02T00:33:00,16108.51,912.11,0.0,15196.4
O00000202,S00007785,U000406,2025-09-03T09:05:12,5803.19,300.22,0.0,5502.97
O00000203,S00007806,U000668,2025-09-03T20:46:19,2498.62,99.17,0.0,2399.45
O00000204,S00007836,U000500,2025-09-03T19:01:01,7295.66,203.81,0.0,7091.85
O00000205,S00007875,U001484,2025-09-03T17:07:51,16590.74,1203.19,0.0,15387.55
O00000206,S00007884,U002231,2025-09-03T09:34:08,12313.79,944.36,0.0,11369.43
O00000207,S00007894,U001106,2025-09-04T06:45:21,21578.73,1352.92,0.0,20225.81
O00000208,S00007907,U001631,2025-09-04T20:13:18,1400.47,38.95,53.55,1415.07
O00000209,S00007924,U001812,2025-09-04T01:44:25,2830.34,127.92,0.0,2702.42
O00000210,S00007927,U002127,2025-09-04T11:27:01,5419.72,256.03,0.0,5163.69
O00000211,S00007940,U002164,2025-09-04T06:44:21,5654.75,420.93,0.0,5233.82
O00000212,S00007984,U001531,2025-09-04T00:48:02,3884.83,126.62,0.0,3758.21
O00000213,S00008004,U001337,2025-09-04T19:48:06,6053.44,422.5,0.0,5630.94
O00000214,S00008006,U000020,2025-09-04T07:06:54,5522.61,293.53,0.0,5229.08
O00000215,S00008105,U001118,2025-09-05T19:26:56,5094.94,320.93,0.0,4774.01
O00000216,S00008145,U000281,2025-09-05T20:51:57,4502.16,267.9,0.0,4234.26
O00000217,S00008173,,2025-09-05T15:19:02,10491.45,619.61,0.0,9871.84
O00000218,S00008192,U000478,2025-09-06T21:23:37,2720.58,114.65,0.0,2605.93
O00000219,S00008214,U001847,2025-09-06T21:38:41,8189.74,429.99,0.0,7759.75
O00000220,S00008254,U001063,2025-09-06T04:17:24,14643.88,525.22,0.0,14118.66
O00000221,S00008295,,2025-09-06T15:12:33,10316.76,741.54,0.0,9575.22
O00000222,S00008319,U002247,2025-09-07T11:13:29,6976.57,265.29,0.0,6711.28
O00000223,S00008335,U000181,2025-09-07T11:17:36,8357.04,433.52,0.0,7923.52
O00000224,S00008363,U001302,2025-09-07T02:52:32,2261.04,109.24,0.0,2151.8
O00000225,S00008375,,2025-09-07T14:41:25,7695.93,279.69,0.0,7416.24
O00000226,S00008378,U000101,2025-09-07T04:06:13,4727.26,405.06,0.0,4322.2
O00000227,S00008445,U001861,2025-09-07T22:16:34,3811.66,195.34,0.0,3616.32
O00000228,S00008482,U000769,2025-09-08T20:32:45,8184.94,302.27,0.0,7882.67
O00000229,S00008487,U000701,2025-09-08T05:50:21,4246.34,221.97,0.0,4024.37
O00000230,S00008560,U002599,2025-09-08T03:28:58,1889.43,137.94,90.0,1841.49
O00000231,S00008596,U001757,2025-09-09T15:18:13,3110.62,257.86,0.0,2852.76
O00000232,S00008597,U002214,2025-09-09T14:35:14,1473.53,69.9,83.99,1487.62
O00000233,S00008650,U001144,2025-09-09T16:52:52,8813.07,335.94,0.0,8477.13
O00000234,S00008666,U001919,2025-09-09T12:26:41,4226.37,214.99,0.0,4011.38
O00000235,S00008774,U002596,2025-09-10T06:06:42,26417.51,759.76,0.0,25657.75
O00000236,S00008805,U000669,2025-09-10T20:32:51,3110.36,16.78,0.0,32931.01
O00000237,S00008826,U000161,2025-09-10T17:56:44,10535.51,1049.51,0.0,9486.0
O00000238,S00008838,U002092,2025-09-10T07:33:32,10383.48,749.33,0.0,9634.15
O00000239,S00008841,U001792,2025-09-10T23:43:52,14279.81,654.54,0.0,13625.27
O00000240,S00008871,U000079,2025-09-11T18:25:32,2749.74,137.51,0.0,2612.23
O00000241,S00008907,,2025-09-11T15:37:41,8827.21,541.18,0.0,8286.03
O00000242,S00008923,U001181,2025-09-11T05:58:13,5371.27,332.74,0.0,5038.53
O00000243,S00008939,U002182,2025-09-11T13:29:27,7025.64,211.33,0.0,6814.31
O00000244,S00009008,U001979,2025-09-12T14:05:43,18402.66,958.94,0.0,17443.72
O00000245,S00009017,U001305,2025-09-12T10:25:51,8333.61,371.94,0.0,7961.67
O00000246,S00009018,U001925,2025-09-12T14:53:15,22368.32,1424.13,0.0,20944.19
O00000247,S00009080,U001985,2025-09-12T04:54:59,14399.39,1154.03,0.0,13245.36
O00000248,S00009083,U000827,2025-09-12T20:38:01,10692.38,615.15,0.0,10077.23
O00000249,S00009118,U001836,2025-09-12T14:51:52,765.5,47.32,95.15,813.33
O00000250,S00009136,,2025-09-12T10:19:34,5387.57,315.15,0.0,5072.42
O00000251,S00009144,U001766,2025-09-12T18:55:22,959.41,45.88,78.66,992.19
O00000252,S00009159,,2025-09-13T03:14:08,11060.28,228.68,0.0,10831.6
O00000253,S00009164,U001434,2025-09-13T19:46:04,7253.1,147.59,0.0,7105.51
O00000254,S00009302,U001443,2025-09-14T02:35:22,3951.32,116.16,0.0,3835.16
O00000255,S00009396,U001292,2025-09-14T13:31:11,11433.9,0.0,0.0,11433.9
O00000256,S00009406,,2025-09-14T11:14:13,3294.81,87.3,0.0,3207.51
O00000257,S00009431,U002441,2025-09-15T12:25:45,9722.69,328.25,0.0,9394.44
O00000258,S00009441,U001924,2025-09-15T15:23:47,3786.15,122.31,0.0,3663.84
O00000259,S00009479,U000049,2025-09-15T11:25:49,583.24,49.21,83.64,617.67
O00000260,S00009494,,2025-09-15T01:48:33,8317.76,373.92,0.0,7943.84
O00000261,S00009564,,2025-09-15T20:48:45,3041.51,141.11,0.0,2900.4
O00000262,S00009605,U000808,2025-09-16T23:57:57,12179.66,675.07,0.0,11504.59
O00000263,S00009641,U000629,2025-09-16T17:46:28,847.9,32.43,112.65,928.12
O00000264,S00009715,U001346,2025-09-17T15:41:47,12884.29,574.15,0.0,12310.14
O00000265,S00009743,U002467,2025-09-17T17:36:58,17587.56,763.19,0.0,16824.37
O00000266,S00009748,U001481,2025-09-17T05:30:49,8667.1,459.55,0.0,8207.55
O00000267,S00009837,U000988,2025-09-18T16:08:20,12088.5,836.8,0.0,11251.7
O00000268,S00009876,U002376,2025-09-18T16:14:48,17015.13,223.76,0.0,16791.37
O00000269,S00009880,U000765,2025-09-18T03:45:40,2410.16,110.46,0.0,2299.7
O00000270,S00009922,U002210,2025-09-18T18:30:05,9650.27,443.14,0.0,9207.13
O00000271,S00009954,,2025-09-19T13:42:07,5676.94,216.68,0.0,5460.26
O00000272,S00009978,,2025-09-19T12:49:12,2749.11,168.77,0.0,2580.34
O00000273,S00009981,U002167,2025-09-19T22:15:58,9794.83,354.02,0.0,9440.81
O00000274,S00009987,U001250,2025-09-19T14:51:19,9668.37,185.72,0.0,9482.65
O00000275,S00009989,U001038,2025-09-19T20:38:04,10252.91,671.32,0.0,9581.59
O00000276,S00009997,U000662,2025-09-19T00:24:17,4138.53,258.41,0.0,3880.12
O00000277,S00010066,U001568,2025-09-19T09:17:01,3493.65,259.78,0.0,3233.87
O00000278,S00010116,U001895,2025-09-20T21:18:31,19839.37,1105.59,0.0,18733.78
O00000279,S00010141,,2025-09-21T15:18:32,1011.73,57.31,64.64,1019.06
O00000280,S00010172,U000717,2025-09-21T13:17:03,987.18,47.55,113.94,1053.57
O00000281,S00010220,U001464,2025-09-21T09:00:32,7692.49,303.35,0.0,7389.14
O00000282,S00010270,U001409,2025-09-21T01:11:59,4184.08,275.86,0.0,3908.22
O00000283,S00010295,U002515,2025-09-22T17:53:10,1207.7,70.64,75.36,1212.42
O00000284,S00010309,U001855,2025-09-22T03:27:12,7497.85,253.15,0.0,7244.7
O00000285,S00010320,U001424,2025-09-22T19:16:45,16479.87,839.58,0.0,15640.29
O00000286,S00010363,U001627,2025-09-22T18:31:27,10834.94,488.5,0.0,10346.44
O00000287,S00010416,,2025-09-23T17:56:53,1391.43,66.21,101.63,1426.85
O00000288,S00010448,U002570,2025-09-23T00:32:09,6015.36,481.7,0.0,5533.66
O00000289,S00010473,U002551,2025-09-23T03:35:03,7735.85,278.08,0.0,7457.77
O00000290,S00010531,U002003,2025-09-24T00:19:04,3884.39,293.0,0.0,3591.39
O00000291,S00010564,U002259,2025-09-24T02:19:02,3896.61,298.47,0.0,3598.14
O00000292,S00010567,U000291,2025-09-24T07:36:43,13940.64,632.24,0.0,13308.4
O00000293,S00010581,U001257,2025-09-24T05:33:41,10279.11,437.45,0.0,9841.66
O00000294,S00010647,U000115,2025-09-25T19:33:24,17424.08,955.17,0.0,16468.91
O00000295,S00010678,U002272,2025-09-25T02:20:12,2148.96,86.45,0.0,2062.51
O00000296,S00010722,U001668,2025-09-25T17:53:36,1507.36,83.88,42.12,1465.6
O00000297,S00010775,U002488,2025-09-26T12:41:34,17492.08,393.14,0.0,17098.94
O00000298,S00010818,,2025-09-26T00:23:32,9868.49,548.4,0.0,9320.09
O00000299,S00010830,U000466,2025-09-26T07:02:16,10346.53,423.58,0.0,9922.95
O00000300,S00010834,U000969,2025-09-26T20:06:01,8401.49,236.78,0.0,8164.71
O00000301,S00010860,U002371,2025-09-26T14:23:54,4602.23,252.92,0.0,4349.31
O00000302,S00010861,U001638,2025-09-26T08:18:43,3628.55,317.6,0.0,3310.95
O00000303,S00010872,U000213,2025-09-26T11:39:42,9747.92,650.69,0.0,9097.23
O00000304,S00010887,,2025-09-26T01:54:05,17804.46,833.7,0.0,16970.76
O00000305,S00010899,U000238,2025-09-26T08:55:48,5629.39,297.84,0.0,5331.55
O00000306,S00010907,U000551,2025-09-27T20:48:01,9847.79,498.65,0.0,9349.14
O00000307,S00010922,U000166,2025-09-27T02:22:44,4354.34,186.21,0.0,4168.13
O00000308,S00010961,U001542,2025-09-27T23:55:14,10314.64,373.7,0.0,9940.94
O00000309,S00010970,U000373,2025-09-27T09:04:26,1359.96,92.71,104.08,1371.33
O00000310,S00010998,,2025-09-27T08:26:55,5145.82,287.65,0.0,4858.17
O00000311,S00011039,U002008,2025-09-27T03:17:17,6164.41,285.01,0.0,5879.4
O00000312,S00011083,,2025-09-28T00:57:31,9474.79,313.86,0.0,9160.93
